,Positive,Negative
0,7,33
1,"Coronavirus Grounds Flights to China From 3 Continents. How Scared Should Travelers Be?: Airlines in Europe, Asia and North America are cancelling flights to and from China as the new coronavirus has… http://dlvr.it/RP4rwp #25thAmendmentNow #ImpeachTrump #TheResistance","News Wrap: WHO declares novel coronavirus a global health emergency: In our news wrap Thursday, the World Health Organization has declared China's outbreak of novel coronavirus a global health emergency. The… http://dlvr.it/RP4wGj #25thAmendmentNow #ImpeachTrump #TheResistance"
2,"China has confidence and capability to win the war against coronavirus: foreign ministry: China has confidence and capability to win the war against the new coronavirus, said the country's foreign ministry… http://dlvr.it/RP4rkx #25thAmendmentNow #ImpeachTrump #TheResistance","China virus death toll rises to at least 212 as WHO declares global emergency: Health authorities in Hubei, the Chinese province at the centre of the coronavirus epidemic, said on Friday that deaths from the… http://dlvr.it/RP4vL2 #25thAmendmentNow #ImpeachTrump #TheResistance"
3,"China’s U.N. envoy says Beijing assessing WHO coronavirus declaration: China's U.N. ambassador, Zhang Jun, said on Thursday Beijing was assessing the World Health Organization's declaration that the… http://dlvr.it/RP4rhs #25thAmendmentNow #ImpeachTrump #TheResistance","The number of people who've gotten the Wuhan coronavirus just surpassed the worldwide total of the entire SARS pandemic: Since December, the coronavirus has infected more than 8,100 people. That's more than… http://dlvr.it/RP4spM #25thAmendmentNow #ImpeachTrump #TheResistance"
4,Satellite photos show the deserted streets of Wuhan as the city enters its 8th day of quarantine: The city of Wuhan is on lockdown as China tries to stop the coronavirus from spreading. This is what it looks… http://dlvr.it/RP4ldv #25thAmendmentNow #ImpeachTrump #TheResistance,"China's Hubei says coronavirus deaths rise to 204 in province: The health commission for Hubei, the Chinese province at the center of the new coronavirus outbreak, said on Friday that deaths in the province… http://dlvr.it/RP4qtY #25thAmendmentNow #ImpeachTrump #TheResistance"
5,Germany identifies fifth case of coronavirus: German health officials said on Thursday they had identified the country's fifth case of the coronavirus in an employee working at the same firm as the other… http://dlvr.it/RP4lMd #25thAmendmentNow #ImpeachTrump #TheResistance,"Russia is closing its 2,600-mile border with China amid fears about the Wuhan coronavirus outbreak: Russian officials announced Thursday that 16 of 25 crossing points along the 2,600-mile Russia-China border… http://dlvr.it/RP4gbY #25thAmendmentNow #ImpeachTrump #TheResistance"
6,CDC Confirms First U.S. Human Transmission of Coronavirus: The Center for Disease Control on Thursday confirmed the first U.S. case of human-to-human transmission of the coronavirus involving a Chicago woman… http://dlvr.it/RP4gbl #25thAmendmentNow #ImpeachTrump #TheResistance,"UN Agency Declares Global Emergency Over Coronavirus from China: To date, China has reported more than 7,800 cases including 170 deaths, with 18 other countries reporting cases as well. http://dlvr.it/RP4cK2"
7,Wall Street reverses course to end higher after WHO comments: U.S. stocks rebounded late to close higher on Thursday after the World Health Organization (WHO) declared the China coronavirus a global… http://dlvr.it/RP4bsY #25thAmendmentNow #ImpeachTrump #TheResistance,"US Reports 1st Case of Person-to-Person Spread of New Coronavirus: The man is married to the Chicago woman who got sick from the virus after she returned from a trip to Wuhan, China, the epicenter of the outbreak. http://dlvr.it/RP4cK1"
8,A cruise passenger quarantined on a coronavirus-stricken ship is now wondering if the best way off is just to get sick: A woman quarantined on the Japanese coronavirus cruise ship wonders if the only way off… http://dlvr.it/RPg42n  #25thAmendmentNow #ImpeachTrump #TheResistancepic.twitter.com/gGASaJ0xN5,Pilots just sued American Airlines to force a halt to China flights: American Airlines had already canceled some flights to China due to the coronavirus outbreak — which was officially designated a global… http://dlvr.it/RP4c0G #25thAmendmentNow #ImpeachTrump #TheResistance
9,U.S. confirms its eighth case of coronavirus; Pentagon to provide quarantine housing: U.S. health officials on Saturday confirmed an eighth case of the fast-spreading new coronavirus in the United States and… http://dlvr.it/RPCNkr  #25thAmendmentNow #ImpeachTrump #TheResistancepic.twitter.com/ep1bgpQy37,Trinidad imposes restrictions on travelers from China to prevent coronavirus: health minister: Trinidad and Tobago has imposed 14-day restrictions on travelers from China to prevent the spread of a new… http://dlvr.it/RP4Yvq #25thAmendmentNow #ImpeachTrump #TheResistance
