#Coronavirus in Scotland: Half of deaths now in care homes now trending on Monkey Viral - https://monkeyviral.com/coronavirus-in-scotland-half-of-deaths-now-in-care-homes/
#Facebook shares soar 10% despite impact of coronavirus on ad sales now trending on Monkey Viral - 
#Stranded New Yorkers discover love caught in Costa Rica amid coronavirus is now trending on https://monkeyviral.com/stranded-new-yorkers-find-love-stuck-in-costa-rica-amid-coronavirus/
#Roberts joins liberals as Supreme Courtroom rejects problem to coronavirus limits on church providers is now trending on https://monkeyviral.com/roberts-joins-liberals-as-supreme-court-rejects-challenge-to-coronavirus-limits-on-church-services/
#WHO Declares Coronavirus Outbreak a Global Health Emergency now trending on Monkey Viral - https://monkeyviral.com/who-declares-coronavirus-outbreak-a-global-health-emergency/
#Coronavirus declared global health emergency by WHO now trending on Monkey Viral - https://monkeyviral.com/coronavirus-declared-global-health-emergency-by-who/
"#The Coronavirus Global Health Emergency, an Amazon Rival, and More News now trending on Monkey Viral - "
#WHO Declares Coronavirus Outbreak a Global Health Emergency now trending on Monkey Viral - https://monkeyviral.com/who-declares-coronavirus-outbreak-a-global-health-emergency/ …pic.twitter.com/46pI5Rd5I7
#Maps: Where the Wuhan Coronavirus Has Spread now trending on Monkey Viral - https://monkeyviral.com/maps-where-the-wuhan-coronavirus-has-spread/ …pic.twitter.com/AQNR3xAOpY
#First U.S. Case of China Coronavirus Diagnosed now trending on Monkey Viral - https://monkeyviral.com/first-u-s-case-of-china-coronavirus-diagnosed/ …
#Can face masks help to prevent the spread of coronavirus? now trending on Monkey Viral - https://monkeyviral.com/can-face-masks-help-to-prevent-the-spread-of-coronavirus/ …pic.twitter.com/3z16LyaMaO
#Coronavirus Face Masks: Hoarders May Raise Risk of U.S. Outbreak now trending on Monkey Viral - https://monkeyviral.com/coronavirus-face-masks-hoarders-may-raise-risk-of-u-s-outbreak/ …
#Coronavirus: Officials Eye First Suspected Case in New York City now trending on Monkey Viral - https://monkeyviral.com/coronavirus-officials-eye-first-suspected-case-in-new-york-city/ …
#Beijing Sees ‘Major Test’ as Doors to China Close and Coronavirus Deaths Surpass SARS now trending on Monkey Viral - https://monkeyviral.com/beijing-sees-major-test-as-doors-to-china-close-and-coronavirus-deaths-surpass-sars/ …
#Coronavirus may be the straw that breaks the back of oil fracking now trending on Monkey Viral - https://monkeyviral.com/coronavirus-may-be-the-straw-that-breaks-the-back-of-oil-fracking/ …pic.twitter.com/iYBiM9P6Z0
"#Coronavirus economic impact, oil and currencies now trending on Monkey Viral - https://monkeyviral.com/coronavirus-economic-impact-oil-and-currencies/ …"
#Shifting Ground in Coronavirus Fight: U.S. Will Evacuate Americans From Cruise Ship now trending on Monkey Viral - https://monkeyviral.com/shifting-ground-in-coronavirus-fight-u-s-will-evacuate-americans-from-cruise-ship/ …
#Factbox: Latest on coronavirus spreading in China and beyond now trending on Monkey Viral - https://monkeyviral.com/factbox-latest-on-coronavirus-spreading-in-china-and-beyond/ …
"#Coronavirus: Five countries, five responses now trending on Monkey Viral - https://monkeyviral.com/coronavirus-five-countries-five-responses/ …"
#Coronavirus: Four new UK cases among ship evacuees now trending on Monkey Viral - https://monkeyviral.com/coronavirus-four-new-uk-cases-among-ship-evacuees/ …pic.twitter.com/IX6FnOkyhO
#Giorgio Armani stages Fashion Week in empty room amid coronavirus now trending on Monkey Viral - https://monkeyviral.com/giorgio-armani-stages-fashion-week-in-empty-room-amid-coronavirus/ …pic.twitter.com/Q84sHUhR6T
"#Spread of coronavirus in UK ‘on the cards’, says Johnson now trending on Monkey Viral - https://monkeyviral.com/spread-of-coronavirus-in-uk-on-the-cards-says-johnson/ …pic.twitter.com/gOpQRl9g41"
#Is There a Coronavirus Vaccine? Here's Everything You Need to Know now trending on Monkey Viral - https://monkeyviral.com/is-there-a-coronavirus-vaccine-heres-everything-you-need-to-know/ …
#Coronavirus: Italy to close all schools as deaths rise now trending on Monkey Viral - https://monkeyviral.com/coronavirus-italy-to-close-all-schools-as-deaths-rise/ …pic.twitter.com/3phfdzNrLH
#Spread of Coronavirus Cancels Travel and Events now trending on Monkey Viral - https://monkeyviral.com/spread-of-coronavirus-cancels-travel-and-events/ …
#Coronavirus: BBC delays over-75 TV licence fee changes now trending on Monkey Viral - https://monkeyviral.com/coronavirus-bbc-delays-over-75-tv-licence-fee-changes/ …pic.twitter.com/Nlml7Sjo42
#Coronavirus: BBC delays over-75 TV licence fee changes now trending on Monkey Viral - https://monkeyviral.com/coronavirus-bbc-delays-over-75-tv-licence-fee-changes/ …pic.twitter.com/Nlml7Sjo42
